inputSize,ANTLR4,Grammatica,HandCrafted,Jackson,JavaCC,REx_LL,REx_LALR
7755.2,38973.71805638872,13155.381261873812,302317.8730126987,266864.64393560647,61932.27354529094,105964.21157884212,72162.67493250675
15499.8,38532.589564174334,13568.326971120216,294869.7078292171,260835.5504449555,65783.49430113977,104171.48855114488,71153.10107978404
30998.6,37989.69456652018,13825.957094392337,265615.9411058894,197576.55968806238,50724.136486351366,78232.49595121463,53399.38740629685
61996.2,29133.203831188268,13138.185852154014,297336.3041391722,265206.65523790487,66464.3387644942,101323.25769692124,70712.09262589928
123991.4,36933.8717692845,14063.296786389414,294270.44407796103,265536.47150569886,54811.38311688312,85848.7763013288,60001.83110267679
247981.8,35390.86144697721,9871.498820522902,210368.2535971223,183869.06980227682,46214.67796441705,69103.99740311626,49413.073411905716
495962.6,26773.94821553534,10828.877729257641,227753.06870761866,210564.14949172814,52157.615187123534,78915.43303261625,53579.22720994475
991924.2,29280.454590180067,11005.076183431953,230863.59936343745,212427.85632987221,51165.27854195323,81801.02608956417,54750.664445549475
1983847.4,29370.02664824319,11314.719011406843,223410.65257334782,214719.07709795394,52003.766796116506,78279.24756430242,53478.31449680511
3967693.8,28938.73723621511,10048.186223197705,202886.84571929483,208179.01708974616,50195.732639865055,78686.91075644537,54666.48939101681
7935386.6,29114.749041989402,11198.682754727632,233737.45508100148,213550.72082128975,52598.67388422448,82074.03398345153,54863.015763274336
1.58707722E7,27846.71692595625,11135.821077743474,209274.68714592693,207569.60763798063,43127.09836956522,71463.13936210131,44773.666165130715
3.17415434E7,23422.036157024795,9397.291102514508,189403.7516906675,180829.14963919483,43053.00217017814,68674.90999567288,45237.35401425178
6.34830858E7,22987.236861798432,9278.078287896798,187486.96337861783,169122.86422164994,42425.764624638,70920.25672153124,45607.849370180564
1.269661706E8,24765.18892876648,9259.538207595331,177740.7894540364,181104.27529478888,43661.99497925216,69982.08859410597,45101.29914509674
